total_points,position,was_home,opponent_team,average_goals_per_90,average_assists_per_90,average_ict_per_90,average_goals_conceded_per_90,value,average_influence_per_90,average_creativity_per_90,average_threat_per_90
0,3,True,2,0.0,0.0,3.733333333333333,0.6666666666666666,49.0,13.733333333333334,7.166666666666667,16.333333333333332
0,3,False,14,0.0,0.0,3.733333333333333,0.6666666666666666,49.0,13.733333333333334,7.166666666666667,16.333333333333332
3,3,False,4,0.0,0.0,3.733333333333333,0.6666666666666666,48.0,13.733333333333334,7.166666666666667,16.333333333333332
10,3,True,18,0.0,0.0,3.733333333333333,0.6666666666666666,48.0,13.733333333333334,7.166666666666667,16.333333333333332
2,3,True,12,0.0,0.0,3.3458213256484144,0.5187319884726225,48.0,13.3314121037464,7.36599423631124,12.708933717579251
3,3,False,11,0.21479713603818615,0.0,5.241050119331742,0.6443914081145584,48.0,22.553699284009546,16.066825775656323,13.747016706443913
2,3,False,17,0.17681728880157171,0.0,4.933202357563851,0.8840864440078585,48.0,22.31434184675835,15.630648330058937,11.31630648330059
0,3,True,16,0.15025041736227046,0.0,4.357262103505843,0.7512520868113522,48.0,20.46410684474123,13.432387312186977,9.61602671118531
3,3,False,7,0,0,0,0,65.0,0,0,0
2,3,True,10,0,0,0,0,65.0,0,0,0
16,3,False,3,0.0,0.0,3.5,0.0,64.0,3.4,8.3,23.0
10,3,True,9,0.0,0.0,3.5,1.0,65.0,5.5,11.8,17.5
1,3,True,2,0.7114624505928854,0.0,6.758893280632411,0.7114624505928854,66.0,28.031620553359684,11.952569169960475,27.391304347826086
2,3,False,14,0.7871720116618076,0.0,8.606413994169095,0.7871720116618076,66.0,35.947521865889215,20.413994169096213,29.65014577259475
0,3,False,4,0.6382978723404256,0.0,9.063829787234042,0.851063829787234,65.0,31.914893617021278,24.595744680851062,34.04255319148936
2,3,True,18,0.5443548387096774,0.0,8.963709677419352,1.0887096774193548,65.0,28.487903225806452,29.467741935483872,31.572580645161292
4,3,True,12,0.5443548387096774,0.0,8.963709677419352,1.0887096774193548,64.0,28.487903225806452,29.467741935483872,31.572580645161292
6,3,False,11,0.46956521739130436,0.0,8.389565217391302,1.0956521739130434,64.0,25.638260869565222,28.048695652173915,30.05217391304348
2,3,False,17,0.4115853658536585,0.13719512195121952,8.478658536585366,1.2347560975609757,64.0,25.4359756097561,27.21951219512195,31.966463414634145
0,3,True,16,0.3708791208791209,0.24725274725274726,8.826923076923075,1.1126373626373627,64.0,26.48076923076923,27.38324175824176,34.244505494505496
1,2,False,7,0,0,0,0,50.0,0,0,0
1,2,True,10,0,0,0,0,50.0,0,0,0
1,2,False,3,0.0,0.0,7.714285714285714,0.0,49.0,77.14285714285714,2.5714285714285716,0.0
2,2,True,9,0.0,0.0,3.1499999999999995,0.0,49.0,29.7,4.049999999999999,0.0
2,2,True,2,0.0,0.0,3.272727272727273,0.0,49.0,31.09090909090909,3.681818181818181,0.0
0,2,False,14,0.0,0.0,4.719512195121951,1.0975609756097562,49.0,21.073170731707318,18.329268292682926,8.78048780487805
6,2,False,4,0.0,0.0,4.0813953488372094,1.0465116279069768,48.0,15.80232558139535,10.36046511627907,15.174418604651162
1,2,True,18,0.0,0.0,4.0813953488372094,1.0465116279069768,48.0,15.80232558139535,10.36046511627907,15.174418604651162
1,2,True,12,0.0,0.0,3.7442748091603053,0.6870229007633588,48.0,15.045801526717556,11.645038167938932,10.992366412213741
1,2,False,11,0.0,0.0,4.032258064516129,0.6451612903225806,48.0,15.999999999999996,12.032258064516128,12.580645161290322
1,2,False,17,0.0,0.0,3.951219512195122,0.627177700348432,48.0,15.554006968641112,11.885017421602788,12.229965156794425
0,2,True,16,0.0,0.0,3.857142857142857,0.5980066445182725,48.0,15.488372093023257,11.421926910299002,11.661129568106313
0,3,False,7,0,0,0,0,55.0,0,0,0
0,3,True,10,0,0,0,0,54.0,0,0,0
0,3,False,3,0,0,0.0,0,53.0,0.0,0.0,0.0
0,3,True,9,0,0,0.0,0,53.0,0.0,0.0,0.0
0,3,True,2,0,0,0.0,0,53.0,0.0,0.0,0.0
0,3,False,14,0,0,0.0,0,53.0,0.0,0.0,0.0
0,3,False,4,0,0,0.0,0,53.0,0.0,0.0,0.0
0,3,True,18,0,0,0.0,0,53.0,0.0,0.0,0.0
0,3,True,12,0,0,0.0,0,53.0,0.0,0.0,0.0
0,3,False,11,0,0,0.0,0,53.0,0.0,0.0,0.0
0,3,False,17,0,0,0.0,0,53.0,0.0,0.0,0.0
0,3,True,16,0,0,0.0,0,53.0,0.0,0.0,0.0
5,2,False,7,0,0,0,0,45.0,0,0,0
1,2,True,10,0,0,0,0,45.0,0,0,0
7,2,False,3,0.0,0.0,4.3,0.0,45.0,31.4,12.0,0.0
1,2,True,9,0.0,0.0,3.0731707317073167,1.0975609756097562,45.0,22.60975609756098,8.396341463414634,0.0
8,2,True,2,0.0,0.0,2.7605042016806722,0.7563025210084033,45.0,19.73949579831933,7.411764705882354,0.7563025210084033
1,2,False,14,0.0,0.0,2.5518292682926833,0.823170731707317,45.0,17.5609756097561,6.420731707317073,1.646341463414634
6,2,False,4,0.0,0.0,2.61734693877551,0.6887755102040817,45.0,15.933673469387758,8.471938775510205,1.836734693877551
5,2,True,18,0.0,0.0,2.464968152866242,1.1464968152866242,45.0,14.866242038216562,8.273885350318473,1.5286624203821657
1,2,True,12,0.0,0.0,2.83273381294964,0.9712230215827338,45.0,15.280575539568344,11.476618705035973,1.618705035971223
6,2,False,11,0.0,0.13975155279503104,3.409937888198758,0.9782608695652174,45.0,18.05590062111801,14.29658385093168,1.8167701863354038
6,2,False,17,0.0,0.1226158038147139,3.188010899182561,1.103542234332425,45.0,16.847411444141688,12.764305177111716,2.329700272479564
